bill_id,date,customer_name,city,phone_number,product_name,category,quantity,price_per_unit,total_amount
7238,27-02-2023,Daniel Kemp,Jaipur,9.14829E+11,Body Lotion,Cosmetics,3,200,600
7594,23-12-2022,Charles Wyatt,Bangalore,9.12079E+11,Mazaa,Cold Drink,8,20,160
5843,02-06-2022,Kimberly Weber,Kolkata,9.11992E+11,Rice,Grocery,7,100,700
2823,02-05-2022,Suzanne Blankenship,Hyderabad,9.16695E+11,Bath Soap,Cosmetics,5,80,400
6098,24-12-2022,Miguel Nunez,Bangalore,9.11597E+11,Coca-Cola,Cold Drink,6,40,240
8979,13-04-2022,Alexander Mason,Hyderabad,9.11352E+11,Mazaa,Cold Drink,10,20,200
7873,17-02-2022,Sarah Griffin,Kolkata,9.12699E+11,Lipstick,Beauty,10,40,400
8064,01-03-2022,Rachel Murphy,Ahmedabad,9.19909E+11,Lipstick,Beauty,5,40,200
8526,10-05-2022,Ronald Castro,Hyderabad,9.15607E+11,Hair Gel,Cosmetics,4,150,600
9895,23-05-2022,Meghan Harris,Mumbai,9.18592E+11,Sprite,Cold Drink,1,30,30
7731,28-05-2023,Robert Anderson,Bangalore,9.15219E+11,Sugar,Grocery,2,30,60
7033,02-08-2022,Austin Watts,Hyderabad,9.1291E+11,Hair Gel,Cosmetics,3,150,450
3925,23-09-2023,Melissa Rodriguez,Hyderabad,9.14266E+11,Sugar,Grocery,1,30,30
2515,09-03-2023,Anthony Haley,Ahmedabad,9.12155E+11,Coca-Cola,Cold Drink,1,40,40
4816,21-04-2022,Ryan Fisher,Pune,9.1853E+11,Pepsi,Cold Drink,5,20,100
3686,22-01-2023,Jesse Russell,Mumbai,9.15676E+11,Rice,Grocery,5,100,500
1164,11-06-2023,Mark Morris,Lucknow,9.18494E+11,Pepsi,Cold Drink,6,20,120
1073,19-08-2022,Robert Smith,Lucknow,9.16767E+11,Bath Soap,Cosmetics,1,80,80
1442,29-09-2022,Rachel Gilmore,Lucknow,9.12171E+11,Frooti,Cold Drink,2,30,60
7624,29-06-2022,Margaret Webb,Jaipur,9.17731E+11,Face Cream,Cosmetics,7,100,700
7818,26-09-2023,Jeremy Schwartz,Pune,9.11266E+11,Coca-Cola,Cold Drink,4,40,160
5587,01-10-2022,Deborah Chang,Chennai,9.10643E+11,Bath Soap,Cosmetics,4,80,320
4251,23-07-2022,Danielle Oliver,Lucknow,9.19024E+11,Body Lotion,Cosmetics,2,200,400
2699,04-01-2022,George Lopez,Bangalore,9.13106E+11,Sugar,Grocery,2,30,60
4602,28-09-2022,Robert Mack,Pune,9.16055E+11,Hair Gel,Cosmetics,5,150,750
7625,27-04-2022,Tiffany Smith,Pune,9.15301E+11,Lipstick,Beauty,9,40,360
6984,29-06-2022,Jackie Wade,Bangalore,9.13695E+11,Sugar,Grocery,7,30,210
5620,04-12-2022,Jerry Adams,Chennai,9.18966E+11,Bath Soap,Cosmetics,8,80,640
8439,15-01-2023,Mr. Timothy Moran,Bangalore,9.14687E+11,Sprite,Cold Drink,2,30,60
4999,27-11-2022,Christopher Davis,Chennai,9.1576E+11,Sugar,Grocery,10,30,300
5681,27-11-2022,Rebecca Clark,Delhi,9.10065E+11,Sugar,Grocery,8,30,240
2416,03-04-2023,Jennifer Henderson,Bangalore,9.15364E+11,Mazaa,Cold Drink,9,20,180
3255,25-01-2023,Sean Bridges,Mumbai,9.13745E+11,Pepsi,Cold Drink,10,20,200
2907,31-12-2022,Robert Mercer,Delhi,9.17875E+11,Perfume,Beauty,9,80,720
5164,12-06-2023,Kevin Edwards,Chennai,9.17203E+11,Bath Soap,Cosmetics,9,80,720
7347,19-07-2023,Timothy Alvarez,Ahmedabad,9.18674E+11,Hair Spray,Cosmetics,8,230,1840
3263,25-08-2022,Mark Simmons,Kolkata,9.10009E+11,Bath Soap,Cosmetics,8,80,640
